id,content,start_index,headers,has_code,has_list,has_table,has_blockquote,char_count,word_count,prev_chunk,next_chunk
chunk_1,"BAN CHẤP HÀNH TRUNG ƯƠNG *** Số: 16 -CTr/TWĐTN-TNTH ĐOÀN TNCS HỒ CHÍ MINH Hà Nội, ngày 29 tháng 8 năm 2024 ## CHƯƠNG TRÌNH Công tác Đoàn và phong trào thanh niên trường học năm học 2024 - 2025 ------",0,,False,False,False,False,199,41,,chunk_2
chunk_2,## I. NHIỆM VỤ TRỌNG TÂM,208,I. NHIỆM VỤ TRỌNG TÂM,False,False,False,False,24,6,chunk_1,chunk_3
chunk_3,"- 1. Tập trung làm tốt công tác giáo dục chính trị tư tưởng, nắm chắc diễn biến tình hình và kịp thời định hướng tư tưởng cho thanh niên; tổ chức các đợt sinh hoạt chính trị kỷ niệm các ngày lễ lớn và sự kiện quan trọng trong năm học, nhất là kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam, 50 năm Ngày giải phóng miền Nam, thống nhất đất nước, 135 năm Ngày sinh Chủ tịch Hồ Chí Minh, 75 năm Ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam, 110 năm Ngày sinh anh hùng Lý Tự Trọng; chào mừng Đại hội Đảng các cấp, tiến tới Đại hội đại biểu toàn quốc lần thứ XIV của Đảng.",234,,False,True,False,False,592,130,chunk_2,chunk_4
chunk_4,"- 2. Tổ chức hiệu quả các phong trào hành động cách mạng của đoàn viên, thanh niên khối trường học; trong đó trọng tâm là việc thực hiện 03 nhiệm vụ đột phá của toàn Đoàn nhiệm kỳ 2022 - 2027. Nâng cao chất lượng các hoạt động đồng hành, hỗ trợ học sinh sinh viên, nhất là công tác tư vấn hướng nghiệp gắn với các hoạt động tư vấn hướng nghiệp, tư vấn tâm lý, chăm sóc sức khỏe tinh thần cho học sinh, sinh viên. - 3. Nâng cao chất lượng công tác tổ chức xây dựng Đoàn khối trường học, đẩy mạnh việc bồi dưỡng, giới thiệu đoàn viên ưu tú là học sinh sinh viên cho Đảng xem xét kết nạp; nhất là trong các đối tượng đặc thù như trường ngoài công lập, trường đông thanh niên tôn giáo, dân tộc, các cơ sở giáo dục nghề nghiệp.",827,,False,True,False,False,722,155,chunk_3,chunk_5
chunk_5,"## II. CÁC CHỈ TIÊU TRỌNG TÂM - 1. 100% cán bộ đoàn, đoàn viên, 80% thanh niên được học tập, quán triệt, tuyên truyền, phổ biến nghị quyết, chủ trương của Đảng, chính sách, pháp luật của Nhà nước và Nghị quyết, kết luận, chủ trương của Đoàn. - 2. 100% đoàn các cơ sở giáo dục đào tạo có công trình, phần việc chào mừng kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam và 75 năm ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam. - 3. 6 triệu lượt đoàn viên, thanh niên được tham gia các hoạt động tình nguyện do tổ chức Đoàn, Hội tổ chức.",1551,"II. CÁC CHỈ TIÊU TRỌNG TÂM - 1. 100% cán bộ đoàn, đoàn viên, 80% thanh niên được học tập, quán triệt, tuyên truyền, phổ biến nghị quyết, chủ trương của Đảng, chính sách, pháp luật của Nhà nước và Nghị quyết, kết luận, chủ trương của Đoàn. - 2. 100% đoàn các cơ sở giáo dục đào tạo có công trình, phần việc chào mừng kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam và 75 năm ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam. - 3. 6 triệu lượt đoàn viên, thanh niên được tham gia các hoạt động tình nguyện do tổ chức Đoàn, Hội tổ chức.",False,False,False,False,556,119,chunk_4,chunk_6
chunk_6,"- 4. 30 nghìn ý tưởng, sáng kiến của đoàn viên, thanh niên được tổ chức Đoàn hỗ trợ triển khai, hiện thực hóa; trong đó phấn đấu 30 công trình nghiên cứu khoa học của sinh viên được hỗ trợ công bố quốc tế; 100 dự án khởi nghiệp đổi mới sáng tạo của đoàn viên, thanh niên trường học được Đoàn, Hội các cấp hỗ trợ, hiện thực hóa. - 5. 10 triệu cây xanh được đoàn viên, thanh niên tham gia trồng mới. - 6. 85% thanh niên khu vực trường học được tiếp cận các hoạt động nâng cao năng lực số do tổ chức Đoàn, Hội các cấp triển khai thực hiện, 65% thanh niên khu vực trường học sử dụng dịch vụ công trực tuyến, 75% thanh niên khu vực trường học sử dụng tài khoản thanh toán điện tử. - 7. 100% Đoàn thanh niên các học viện, trường đại học, cao đẳng, các cơ sở giáo dục nghề nghiệp hệ Trung cấp tổ chức chiến dịch sinh viên tình nguyện ""Mùa hè xanh"" năm 2024; 100% Đoàn cấp huyện có ít nhất 01 đội hình tình nguyện ""Hoa phượng đỏ"" năm 2024.",2110,,False,True,False,False,934,200,chunk_5,chunk_7
chunk_7,"- 8. 100% Đoàn trường THPT, TTGDNN - GDTX tổ chức, duy trì triển khai hoạt động tư vấn tâm lý, chăm sóc sức khỏe tinh thần cho học sinh. - 9. Vận động ít nhất 150 tỷ đồng hỗ trợ trao học bổng cho học sinh, sinh viên hỗ trợ học sinh, sinh viên tiếp cận các nguồn vốn tín dụng ưu đãi$^{1}$. - 10. 1,2 triệu lượt thanh niên được tư vấn hướng nghiệp và việc làm, 300 nghìn thanh niên được giới thiệu việc làm. - 11. 700 nghìn lượt thanh thiếu nhi tham gia các hoạt động hỗ trợ nâng cao năng lực ngoại ngữ và hội nhập quốc tế. - 12. 100% Đoàn trường tổ chức tập huấn nghiệp vụ công tác Đoàn trường học cho cán bộ Đoàn cấp dưới. - 13. 60% đoàn viên xếp loại hoàn thành xuất sắc nhiệm vụ, tỷ lệ đoàn viên trên tổng số thanh niên khu vực trường học đạt 70%, tỷ lệ đoàn kết tập hợp thanh niên đạt 90%. - 14. Giới thiệu ít nhất 100.000 đoàn viên ưu tú cho Đảng; phấn đấu 40% đảng viên mới được kết nạp từ đoàn viên ưu tú trong trường học.",3045,,False,True,False,False,928,204,chunk_6,chunk_8
chunk_8,"## III. NỘI DUNG, GIẢI PHÁP ## 1. Công tác giáo dục",3975,"III. NỘI DUNG, GIẢI PHÁP ## 1. Công tác giáo dục",False,False,False,False,51,12,chunk_7,chunk_9
chunk_9,"## 1.1. Học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh - - Triển khai các đợt sinh hoạt chính trị với chủ đề ""Nhớ về Bác - Lòng ta trong sáng hơn"" . Tổ chức các hoạt động kỷ niệm, các hoạt động tìm hiểu về cuộc đời, sự nghiệp và tư tưởng, đạo đức, phong cách Hồ Chí Minh nhân dịp kỷ niệm 135 năm Ngày sinh Chủ tịch Hồ Chí Minh (19/5/1890 - 19/5/2025), lồng ghép tuyên dương các điển hình tiên tiến làm theo lời Bác trong năm học, trong giai đoạn.",4029,"1.1. Học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh - - Triển khai các đợt sinh hoạt chính trị với chủ đề ""Nhớ về Bác - Lòng ta trong sáng hơn"" . Tổ chức các hoạt động kỷ niệm, các hoạt động tìm hiểu về cuộc đời, sự nghiệp và tư tưởng, đạo đức, phong cách Hồ Chí Minh nhân dịp kỷ niệm 135 năm Ngày sinh Chủ tịch Hồ Chí Minh (19/5/1890 - 19/5/2025), lồng ghép tuyên dương các điển hình tiên tiến làm theo lời Bác trong năm học, trong giai đoạn.",False,False,False,False,461,101,chunk_8,chunk_10
chunk_10,"- - Tổ chức cho cán bộ, đoàn viên, thanh niên học tập, tìm hiểu ít nhất 01 chuyên đề về tư tưởng, đạo đức, phong cách Hồ Chí Minh. Xây dựng, triển khai mô hình ""Nhật ký điện tử thanh niên làm theo lời Bác"". Vận động đoàn viên thanh niên chủ động đăng ký học tập và làm theo tư tưởng đạo đức, phong cách Hồ Chí Minh và 04 bài học lý luận chính trị cho đoàn viên. Sử dụng Ứng dụng Thanh niên Việt Nam để học tập và đánh giá kết quả học tập của đoàn viên, thanh niên. - -Biên soạn các tài liệu, ấn phẩm hiện đại tuyên truyền về tư tưởng, đạo đức, phong cách Hồ Chí Minh, các mô hình học tập và làm theo lời Bác tiêu biểu, các gương điển hình thanh niên tiên tiến làm theo lời Bác trong trường học triển khai tuyên truyền trên các trang thông tin của toàn Đoàn. Tổ chức cho đoàn viên, thanh niên sinh hoạt, thảo luận về các cuốn sách viết về Bác Hồ.",4493,,False,True,False,False,846,184,chunk_9,chunk_11
