id,content,start_index,headers,has_code,has_list,has_table,has_blockquote,char_count,word_count,prev_chunk,next_chunk
chunk_1,"## BAN CHẤP HÀNH TRUNG ƯƠNG *** Số: - QĐ/TWĐTN-TNTH ĐOÀN TNCS HỒ CHÍ MINH Hà Nội, ngày tháng năm 2024 QUYẾT ĐỊNH Về việc ban hành Quy chế danh hiệu ""Học sinh 3 rèn luyện"" ---------- ## BAN BÍ THƯ TRUNG ƯƠNG ĐOÀN TNCS HỒ CHÍ MINH - - Căn cứ Điều 31, Chương IX, Điều lệ Đoàn TNCS Hồ Chí Minh; - - Căn cứ Quy chế hoạt động của BCH Trung ương Đoàn (khoá XII); Quy chế tổ chức và hoạt động của cơ quan Trung ương Đoàn; - - Xét đề nghị của Ban Thanh niên Trường học Trung ương Đoàn, ## QUYẾT ĐỊNH Điều 1. Ban hành kèm theo quyết định này Quy chế danh hiệu ""Học sinh 3 rèn luyện"" dành cho học sinh đang đào tạo trình độ trung cấp trong các cơ sở giáo dục nghề nghiệp. Điều 2. Ban Thanh niên Trường học Trung ương Đoàn là cơ quan thường trực danh hiệu, có trách nhiệm tham mưu Ban Bí thư Trung ương Đoàn chỉ đạo tổ chức thực hiện quy định và trao tặng danh hiệu ""Học sinh 3 rèn luyện"" hằng năm.",0,"BAN CHẤP HÀNH TRUNG ƯƠNG *** Số: - QĐ/TWĐTN-TNTH ĐOÀN TNCS HỒ CHÍ MINH Hà Nội, ngày tháng năm 2024 QUYẾT ĐỊNH Về việc ban hành Quy chế danh hiệu ""Học sinh 3 rèn luyện"" ---------- ## BAN BÍ THƯ TRUNG ƯƠNG ĐOÀN TNCS HỒ CHÍ MINH - - Căn cứ Điều 31, Chương IX, Điều lệ Đoàn TNCS Hồ Chí Minh; - - Căn cứ Quy chế hoạt động của BCH Trung ương Đoàn (khoá XII); Quy chế tổ chức và hoạt động của cơ quan Trung ương Đoàn; - - Xét đề nghị của Ban Thanh niên Trường học Trung ương Đoàn, ## QUYẾT ĐỊNH Điều 1. Ban hành kèm theo quyết định này Quy chế danh hiệu ""Học sinh 3 rèn luyện"" dành cho học sinh đang đào tạo trình độ trung cấp trong các cơ sở giáo dục nghề nghiệp. Điều 2. Ban Thanh niên Trường học Trung ương Đoàn là cơ quan thường trực danh hiệu, có trách nhiệm tham mưu Ban Bí thư Trung ương Đoàn chỉ đạo tổ chức thực hiện quy định và trao tặng danh hiệu ""Học sinh 3 rèn luyện"" hằng năm.",False,False,False,False,886,193,,chunk_2
chunk_2,"## Điều 3. - - Quyết định này có hiệu lực kể từ ngày ký. - -Ban Thanh niên Trường học, Văn phòng Trung ương Đoàn, các ban, đơn vị trực thuộc Trung ương Đoàn, các tỉnh, thành đoàn, đoàn trực thuộc có trách nhiệm thi hành quyết định này. ## Nơi nhận: - - Như điều 3; - Ban Dân vận TW, Ban Tuyên giáo TW, Văn phòng TW, Ban Thi đua - Khen thưởng TW (để b/c); - - Bộ Giáo dục và Đào tạo; - -BộLaođộng -Thươngbinh và Xã hội; - -BanBí thư TW Đoàn; - -BTVcáctỉnh,thànhđoàn,đoàntrựcthuộc; - - Lưu VP, TNTH. ## TM. BAN BÍ THƯ TRUNG ƯƠNG ĐOÀN BÍ THƯ THỨ NHẤT Bùi Quang Huy ## QUY CHẾ ## DANH HIỆU ""HỌC SINH 3 RÈN LUYỆN"" /02/2024 (Ban hành kèm theo Quyết định số -QĐ/TWĐTN-TNTH ngày của Ban Bí thư Trung ương Đoàn TNCS Hồ Chí Minh) --------------- ## Chương I ## QUY ĐỊNH CHUNG",900,"Điều 3. - - Quyết định này có hiệu lực kể từ ngày ký. - -Ban Thanh niên Trường học, Văn phòng Trung ương Đoàn, các ban, đơn vị trực thuộc Trung ương Đoàn, các tỉnh, thành đoàn, đoàn trực thuộc có trách nhiệm thi hành quyết định này. ## Nơi nhận: - - Như điều 3; - Ban Dân vận TW, Ban Tuyên giáo TW, Văn phòng TW, Ban Thi đua - Khen thưởng TW (để b/c); - - Bộ Giáo dục và Đào tạo; - -BộLaođộng -Thươngbinh và Xã hội; - -BanBí thư TW Đoàn; - -BTVcáctỉnh,thànhđoàn,đoàntrựcthuộc; - - Lưu VP, TNTH. ## TM. BAN BÍ THƯ TRUNG ƯƠNG ĐOÀN BÍ THƯ THỨ NHẤT Bùi Quang Huy ## QUY CHẾ ## DANH HIỆU ""HỌC SINH 3 RÈN LUYỆN"" /02/2024 (Ban hành kèm theo Quyết định số -QĐ/TWĐTN-TNTH ngày của Ban Bí thư Trung ương Đoàn TNCS Hồ Chí Minh) --------------- ## Chương I ## QUY ĐỊNH CHUNG",False,False,False,False,765,160,chunk_1,chunk_3
chunk_3,"## DANH HIỆU ""HỌC SINH 3 RÈN LUYỆN"" /02/2024 (Ban hành kèm theo Quyết định số -QĐ/TWĐTN-TNTH ngày của Ban Bí thư Trung ương Đoàn TNCS Hồ Chí Minh) --------------- ## Chương I ## QUY ĐỊNH CHUNG ## Điều 1. Đối tượng áp dụng Danh hiệu ""Học sinh 3 rèn luyện"" (sau đây gọi tắt là danh hiệu) là phần thưởng cao quý của Đoàn TNCS Hồ Chí Minh, trao tặng hằng năm cho học sinh đang đào tạo trình độ trung cấp trong các cơ sở giáo dục nghề nghiệp có thành tích xuất sắc trong học tập và rèn luyện. ## Điều 2. Mục đích danh hiệu - - Xây dựng môi trường, tạo động lực cho học sinh rèn luyện, phấn đấu toàn diện trên các mặt: đạo đức, tay nghề, thể lực; góp phần nâng cao chất lượng đào tạo của các cơ sở giáo dục nghề nghiệp. - - Thông qua phong trào, phát hiện, tuyên dương và nhân rộng các điển hình học sinh tiêu biểu về rèn luyện, học nghề; tham gia quá trình hình thành nguồn nhân lực chất lượng cao của đất nước.",1483,"DANH HIỆU ""HỌC SINH 3 RÈN LUYỆN"" /02/2024 (Ban hành kèm theo Quyết định số -QĐ/TWĐTN-TNTH ngày của Ban Bí thư Trung ương Đoàn TNCS Hồ Chí Minh) --------------- ## Chương I ## QUY ĐỊNH CHUNG ## Điều 1. Đối tượng áp dụng Danh hiệu ""Học sinh 3 rèn luyện"" (sau đây gọi tắt là danh hiệu) là phần thưởng cao quý của Đoàn TNCS Hồ Chí Minh, trao tặng hằng năm cho học sinh đang đào tạo trình độ trung cấp trong các cơ sở giáo dục nghề nghiệp có thành tích xuất sắc trong học tập và rèn luyện. ## Điều 2. Mục đích danh hiệu - - Xây dựng môi trường, tạo động lực cho học sinh rèn luyện, phấn đấu toàn diện trên các mặt: đạo đức, tay nghề, thể lực; góp phần nâng cao chất lượng đào tạo của các cơ sở giáo dục nghề nghiệp. - - Thông qua phong trào, phát hiện, tuyên dương và nhân rộng các điển hình học sinh tiêu biểu về rèn luyện, học nghề; tham gia quá trình hình thành nguồn nhân lực chất lượng cao của đất nước.",False,False,False,False,906,192,chunk_2,chunk_4
chunk_4,"## Điều 3 . Cơ cấu số lượng danh hiệu - - Hằng năm, căn cứ vào số lượng, chất lượng các hồ sơ của các đơn vị gửi xét trao danh hiệu, Ban Bí thư Trung ương Đoàn sẽ xem xét, quyết định trên cơ sở đề xuất của Hội đồng xét chọn danh hiệu về số lượng học sinh được trao danh hiệu, không quy định về số lượng đạt danh hiệu trong một năm. - - Mỗi cá nhân được nhận danh hiệu một lần. ## Chương II ## TIÊU CHUẨN, CƠ CẤU, QUYỀN LỢI VÀ NGHĨA VỤ Điều 4. Tiêu chuẩn, giải thưởng đối với danh hiệu cấp Trung ương 1. Tiêu chuẩn ## 1.1.Tiêu chuẩn chung - -Đạt danh hiệu ""Học sinh 3 rèn luyện"" cấp tỉnh, thành phố. - -Được Ban Thường vụ tỉnh, thành đoàn, đoàn trực thuộc đề nghị xét ở cấp Trung ương.",2400,"Điều 3 . Cơ cấu số lượng danh hiệu - - Hằng năm, căn cứ vào số lượng, chất lượng các hồ sơ của các đơn vị gửi xét trao danh hiệu, Ban Bí thư Trung ương Đoàn sẽ xem xét, quyết định trên cơ sở đề xuất của Hội đồng xét chọn danh hiệu về số lượng học sinh được trao danh hiệu, không quy định về số lượng đạt danh hiệu trong một năm. - - Mỗi cá nhân được nhận danh hiệu một lần. ## Chương II ## TIÊU CHUẨN, CƠ CẤU, QUYỀN LỢI VÀ NGHĨA VỤ Điều 4. Tiêu chuẩn, giải thưởng đối với danh hiệu cấp Trung ương 1. Tiêu chuẩn ## 1.1.Tiêu chuẩn chung - -Đạt danh hiệu ""Học sinh 3 rèn luyện"" cấp tỉnh, thành phố. - -Được Ban Thường vụ tỉnh, thành đoàn, đoàn trực thuộc đề nghị xét ở cấp Trung ương.",False,False,False,False,684,152,chunk_3,chunk_5
chunk_5,## 1.2. Tiêu chuẩn cụ thể 1.2.1. Tiêu chuẩn về đạo đức,3093,1.2. Tiêu chuẩn cụ thể 1.2.1. Tiêu chuẩn về đạo đức,False,False,False,False,54,12,chunk_4,chunk_6
chunk_6,"- - Có ý thức tổ chức kỷ luật; chấp hành tốt các chính sách, pháp luật của Nhà nước; gương mẫu chấp hành pháp luật và các quy chế, nội quy của nhà trường, quy định của địa phương và cộng đồng. - - Điểm rèn luyện của năm học xét trao danh hiệu từ 80 điểm trở lên (trên thang điểm 100 theo Quy định về đánh giá kết quả rèn luyện của học sinh, sinh viên theo Thông tư 17/2017/TT-BLĐTBXH ngày 30/6/20217 về Quy chế công tác học sinh, sinh viên trong trường trung cấp, trường cao đẳng) . Đối với những trường đặc thù không đánh giá kết quả rèn luyện của học sinh theo quy định của Bộ Lao động - Thương binh và Xã hội thì kết quả rèn luyện được tính quy đổi phải đạt loại Tốt trở lên. - - Đạt thêm 01 trong các tiêu chí sau: - + Là thanh niên tiên tiến, gương người tốt - việc tốt, có hành động dũng cảm cứu người, có thành tích đặc biệt xuất sắc trong giữ gìn an ninh quốc gia, trật tự an toàn xã hội, hoạt động vì cộng đồng được khen thưởng từ cấp huyện trở lên.",3150,,False,True,False,False,958,209,chunk_5,chunk_7
chunk_7,"- + Tham gia tích cực các hoạt động, nội dung công tác đoàn và phong trào thanh niên, được nhận giấy khen từ Đoàn cấp huyện trở lên. - + Tham gia và đạt giải trong các cuộc thi tìm hiểu về tấm gương đạo đức, phong cách Hồ Chí Minh, cuộc thi tìm hiểu về chủ nghĩa Mác - Lênin, tư tưởng Hồ Chí Minh, các cuộc thi tìm hiểu lịch sử, văn hóa dân tộc; cuộc thi tìm hiểu về nghị quyết của Đảng, chính sách, pháp luật của Nhà nước, thi tìm hiểu về Đoàn TNCS Hồ Chí Minh từ cấp trường trở lên. - + Tham gia các hoạt động tình nguyện được khen thưởng từ cấp huyện trở lên.",4109,,False,True,False,False,562,125,chunk_6,chunk_8
chunk_8,"## 1.2.2. Tiêu chuẩn về tay nghề - - Điểm trung bình học tập của năm học xét trao danh hiệu đạt từ 8,0/10 trở lên ( đối với chương trình đào tạo theo niên chế ) hoặc 3,2/4,0 trở lên ( đối với các chương trình đào tạo theo tích lũy mô đun hoặc tích lũy tín chỉ ). - - Đạt thêm 01 trong các tiêu chí sau: - + Tham gia và đạt giải trong các cuộc thi sáng tạo khoa học, kỹ thuật từ cấp huyện trở lên. Đối với học sinh đang theo học tại các trường cao đẳng có đào tạo trung cấp thì thành tích này được tính từ các cuộc thi do các nhà trường tổ chức trở lên. - + Tham gia và đạt giải trong các kỳ thi, hội thi tay nghề gần nhất từ cấp tỉnh trở lên trong 02 năm học gần nhất tính đến thời điểm xét chọn.",4673,"1.2.2. Tiêu chuẩn về tay nghề - - Điểm trung bình học tập của năm học xét trao danh hiệu đạt từ 8,0/10 trở lên ( đối với chương trình đào tạo theo niên chế ) hoặc 3,2/4,0 trở lên ( đối với các chương trình đào tạo theo tích lũy mô đun hoặc tích lũy tín chỉ ). - - Đạt thêm 01 trong các tiêu chí sau: - + Tham gia và đạt giải trong các cuộc thi sáng tạo khoa học, kỹ thuật từ cấp huyện trở lên. Đối với học sinh đang theo học tại các trường cao đẳng có đào tạo trung cấp thì thành tích này được tính từ các cuộc thi do các nhà trường tổ chức trở lên. - + Tham gia và đạt giải trong các kỳ thi, hội thi tay nghề gần nhất từ cấp tỉnh trở lên trong 02 năm học gần nhất tính đến thời điểm xét chọn.",False,False,False,False,696,161,chunk_7,chunk_9
chunk_9,"## 1.2.3. Tiêu chuẩn về thể lực - - Đạt danh hiệu "" Thanh niên khỏe "" từ cấp trường trở lên (tiêu chuẩn cụ thể theo Hướng dẫn liên tịch số 87/2006/HDLT-ĐTN-TDTT về tiêu chuẩn thi đua và rèn luyện thể dục thể thao của các cấp bộ Đoàn và đoàn viên thanh niên do Trung ương Đoàn TNCS Hồ Chí Minh và Ủy ban Thể dục - Thể thao ban hành ngày 24 tháng 11 năm 2006). - * Đối với các trường hợp học sinh gặp khó khăn trong học tập, rèn luyện thể lực do mắc bệnh mãn tính, bị khuyết tật, bị tai nạn hoặc bị bệnh phải điều trị (có xác nhận của nhà trường) thì không cần xét tiêu chuẩn về thể lực.",5372,"1.2.3. Tiêu chuẩn về thể lực - - Đạt danh hiệu "" Thanh niên khỏe "" từ cấp trường trở lên (tiêu chuẩn cụ thể theo Hướng dẫn liên tịch số 87/2006/HDLT-ĐTN-TDTT về tiêu chuẩn thi đua và rèn luyện thể dục thể thao của các cấp bộ Đoàn và đoàn viên thanh niên do Trung ương Đoàn TNCS Hồ Chí Minh và Ủy ban Thể dục - Thể thao ban hành ngày 24 tháng 11 năm 2006). - * Đối với các trường hợp học sinh gặp khó khăn trong học tập, rèn luyện thể lực do mắc bệnh mãn tính, bị khuyết tật, bị tai nạn hoặc bị bệnh phải điều trị (có xác nhận của nhà trường) thì không cần xét tiêu chuẩn về thể lực.",False,False,False,False,585,130,chunk_8,chunk_10
chunk_10,"## 1.2.4. Tiêu chuẩn ưu tiên xét chọn tuyên dương - - Tham gia và đạt giải thưởng (Nhất, Nhì, Ba) trong các cuộc thi ngoại ngữ, hội nhập quốc tế từ cấp huyện trở lên. - - Tham gia và đạt giải thưởng (Nhất, Nhì, Ba) trong các giải thể thao từ cấp trường trở lên. - * Tất cả các thành tích xét trao danh hiệu ""Học sinh 3 rèn luyện"" cấp Trung ương được tính trong khoảng thời gian của năm học xét trao danh hiệu. ## 2. Giá trị giải thưởng Mỗi học sinh đạt danh hiệu sẽ được nhận các phần thưởng sau: - - Bằng khen của Ban Chấp hành Trung ương Đoàn TNCS Hồ Chí Minh hoặc Bằng khen của Bộ Lao động - Thương binh và Xã hội. - - Biểu trưng danh hiệu; - - Phần thưởng bằng tiền mặt; - - Các phần thưởng khác của đơn vị tài trợ, bảo trợ (nếu có).",5962,"1.2.4. Tiêu chuẩn ưu tiên xét chọn tuyên dương - - Tham gia và đạt giải thưởng (Nhất, Nhì, Ba) trong các cuộc thi ngoại ngữ, hội nhập quốc tế từ cấp huyện trở lên. - - Tham gia và đạt giải thưởng (Nhất, Nhì, Ba) trong các giải thể thao từ cấp trường trở lên. - * Tất cả các thành tích xét trao danh hiệu ""Học sinh 3 rèn luyện"" cấp Trung ương được tính trong khoảng thời gian của năm học xét trao danh hiệu. ## 2. Giá trị giải thưởng Mỗi học sinh đạt danh hiệu sẽ được nhận các phần thưởng sau: - - Bằng khen của Ban Chấp hành Trung ương Đoàn TNCS Hồ Chí Minh hoặc Bằng khen của Bộ Lao động - Thương binh và Xã hội. - - Biểu trưng danh hiệu; - - Phần thưởng bằng tiền mặt; - - Các phần thưởng khác của đơn vị tài trợ, bảo trợ (nếu có).",False,False,False,False,737,164,chunk_9,chunk_11
