id,content,start_index,headers,has_code,has_list,has_table,has_blockquote,char_count,word_count,prev_chunk,next_chunk
m_chunk_1,"## HỘI SINH VIÊN VIỆT NAM BAN CHẤP HÀNH TRUNG ƯƠNG *** - CT/TWHSV Số: 02 ## CHƯƠNG TRÌNH Công tác Hội và phong trào sinh viên năm học 2024 - 2025 ---------- ## CHỦ ĐỀ NĂM HỌC: ""Sinh viên Việt Nam tự hào tiến bước dưới cờ Đảng""",0,"HỘI SINH VIÊN VIỆT NAM BAN CHẤP HÀNH TRUNG ƯƠNG *** - CT/TWHSV Số: 02 ## CHƯƠNG TRÌNH Công tác Hội và phong trào sinh viên năm học 2024 - 2025 ---------- ## CHỦ ĐỀ NĂM HỌC: ""Sinh viên Việt Nam tự hào tiến bước dưới cờ Đảng""",False,False,False,False,226,49,,chunk_2
m_chunk_2,"## CHỦ ĐỀ NĂM HỌC: ""Sinh viên Việt Nam tự hào tiến bước dưới cờ Đảng"" ## I. NHIỆM VỤ TRỌNG TÂM - 1. Tập trung làm tốt công tác giáo dục lý tưởng cách mạng, đạo đức, lối sống văn hóa; chú trọng giáo dục truyền thống, lịch sử gắn với kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam (03/02/1930 - 03/02/2025), 50 năm ngày giải phóng miền Nam thống nhất Đất nước (30/4/1975 - 30/4/2025), 135 năm Ngày sinh Chủ tịch Hồ Chí Minh (19/5/1890 - 19/5/2025); Tổ chức các hoạt động kỷ niệm 75 năm Ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam (09/01/1950 - 09/01/2025); tuyên truyền về Đại hội Đảng các cấp, tiến tới Đại hội Đảng toàn quốc lần thứ XIV. - 2. Tổ chức tốt phong trào ""Sinh viên 5 tốt"". Trong đó chú trọng tuyên truyền về giá trị phong trào đến cộng đồng, xã hội; đẩy mạnh các hoạt động phát huy, kết nối sinh viên sau tuyên dương. - 3. Triển khai đồng bộ, hiệu quả các Đề án nhiệm kỳ của Hội Sinh viên Việt Nam.",164,"CHỦ ĐỀ NĂM HỌC: ""Sinh viên Việt Nam tự hào tiến bước dưới cờ Đảng"" ## I. NHIỆM VỤ TRỌNG TÂM - 1. Tập trung làm tốt công tác giáo dục lý tưởng cách mạng, đạo đức, lối sống văn hóa; chú trọng giáo dục truyền thống, lịch sử gắn với kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam (03/02/1930 - 03/02/2025), 50 năm ngày giải phóng miền Nam thống nhất Đất nước (30/4/1975 - 30/4/2025), 135 năm Ngày sinh Chủ tịch Hồ Chí Minh (19/5/1890 - 19/5/2025); Tổ chức các hoạt động kỷ niệm 75 năm Ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam (09/01/1950 - 09/01/2025); tuyên truyền về Đại hội Đảng các cấp, tiến tới Đại hội Đảng toàn quốc lần thứ XIV. - 2. Tổ chức tốt phong trào ""Sinh viên 5 tốt"". Trong đó chú trọng tuyên truyền về giá trị phong trào đến cộng đồng, xã hội; đẩy mạnh các hoạt động phát huy, kết nối sinh viên sau tuyên dương. - 3. Triển khai đồng bộ, hiệu quả các Đề án nhiệm kỳ của Hội Sinh viên Việt Nam.",False,False,False,False,937,196,chunk_1,chunk_3
m_chunk_3,"## II. MỘT SỐ CHỈ TIÊU CƠ BẢN - 1. 100% cán bộ Hội, hội viên, sinh viên được nghiên cứu, học tập, quán triệt, tuyên truyền nghị quyết, chủ trương của Đảng, chính sách, pháp luật của Nhà nước, của Đoàn, Hội. - 2. 100% Hội Sinh viên cấp tỉnh, cấp trường có công trình, phần việc chào mừng kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam, 50 năm ngày Giải phóng Miền Nam, thống nhất đất nước và 75 năm ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam. - 3. 200 sinh viên đạt Danh hiệu ""Sinh viên 5 tốt"" cấp Trung ương; 4.000 sinh viên đạt Danh hiệu ""Sinh viên 5 tốt"" cấp tỉnh; 40.000 sinh viên đạt Danh hiệu ""Sinh viên 5 tốt"" cấp trường. - 4. 100% Hội Sinh viên Việt Nam cấp trường có ít nhất 02 hoạt động hỗ trợ sinh viên nghiên cứu khoa học; tối thiểu 500 đề tài nghiên cứu khoa học của sinh viên được Hội Sinh viên các cấp hỗ trợ. Hà Nội, ngày 19 tháng 8 năm 2024",1106,"II. MỘT SỐ CHỈ TIÊU CƠ BẢN - 1. 100% cán bộ Hội, hội viên, sinh viên được nghiên cứu, học tập, quán triệt, tuyên truyền nghị quyết, chủ trương của Đảng, chính sách, pháp luật của Nhà nước, của Đoàn, Hội. - 2. 100% Hội Sinh viên cấp tỉnh, cấp trường có công trình, phần việc chào mừng kỷ niệm 95 năm ngày thành lập Đảng Cộng sản Việt Nam, 50 năm ngày Giải phóng Miền Nam, thống nhất đất nước và 75 năm ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam. - 3. 200 sinh viên đạt Danh hiệu ""Sinh viên 5 tốt"" cấp Trung ương; 4.000 sinh viên đạt Danh hiệu ""Sinh viên 5 tốt"" cấp tỉnh; 40.000 sinh viên đạt Danh hiệu ""Sinh viên 5 tốt"" cấp trường. - 4. 100% Hội Sinh viên Việt Nam cấp trường có ít nhất 02 hoạt động hỗ trợ sinh viên nghiên cứu khoa học; tối thiểu 500 đề tài nghiên cứu khoa học của sinh viên được Hội Sinh viên các cấp hỗ trợ. Hà Nội, ngày 19 tháng 8 năm 2024",False,False,False,False,883,190,chunk_2,chunk_4
m_chunk_4,"Hà Nội, ngày 19 tháng 8 năm 2024 - 5. 70% sinh viên được tiếp cận các hoạt động nâng cao năng lực số do Hội Sinh viên các cấp triển khai thực hiện. 60% sinh viên sử dụng dịch vụ công trực tuyến, 70% sinh viên sử dụng tài khoản thanh toán điện tử. - 6. 100 dự án khởi nghiệp đổi mới sáng tạo của sinh viên được Hội Sinh viên các cấp hỗ trợ, hiện thực hóa. - 7. 05 triệu lượt sinh viên tham gia các hoạt động tình nguyện do Hội Sinh viên Việt Nam các cấp tổ chức. - 8. 60 tỷ đồng được các cấp bộ Hội huy động trao học bổng, giải thưởng, vay ưu đãi lãi suất. - 9. 01 triệu lượt sinh viên được tham gia các hoạt động thể dục thể thao. - 10. 01 triệu lượt sinh viên được tham gia các hoạt động hỗ trợ nâng cao năng lực ngoại ngữ và hội nhập quốc tế. - 11. 100% cơ sở Hội triển khai khung năng lực cán bộ Hội. - 12. Thành lập mới ít nhất 04 hội sinh viên cấp tỉnh, cấp trường và ngoài nước. Tỷ lệ tập hợp sinh viên đạt 80%.",1959,,False,False,False,False,919,209,chunk_3,chunk_5
m_chunk_5,"## III. NỘI DUNG VÀ GIẢI PHÁP - 1. Công tác tuyên truyền, triển khai phong trào ""Sinh viên 5 tốt""",2881,"III. NỘI DUNG VÀ GIẢI PHÁP - 1. Công tác tuyên truyền, triển khai phong trào ""Sinh viên 5 tốt""",False,False,False,False,97,21,chunk_4,chunk_6
m_chunk_6,## 1.1. Trung ương Hội Sinh viên Việt Nam,2981,1.1. Trung ương Hội Sinh viên Việt Nam,False,False,False,False,41,9,chunk_5,chunk_7
m_chunk_7,"- - Xây dựng và triển khai Ứng dụng ""Sinh viên 5 tốt"" dành riêng cho Hội viên, sinh viên Việt Nam theo dõi, quản lý quá trình rèn luyện phấn đấu đạt danh hiệu sinh viên tốt. - - Ban hành hướng dẫn triển khai phong trào ""Sinh viên 5 tốt"" và quy chế xét chọn danh hiệu ""Sinh viên 5 tốt"", tập thể ""Sinh viên 5 tốt"" giai đoạn 2024 2028; Tổ chức bình xét và tuyên dương ""Sinh viên 5 tốt"", tập thể ""Sinh viên 5 tốt"" nhân dịp kỷ niệm 75 năm ngày truyền thống học sinh, sinh viên và Hội Sinh viên Việt Nam.",3024,,False,True,False,False,498,109,chunk_6,chunk_8
m_chunk_8,"- - Ứng dụng công nghệ thông tin, chuyển đổi số, các phương tiện truyền thông hiện đại, mạng xã hội để triển khai tuyên truyền về phong trào ""Sinh viên 5 tốt"", trong đó tập trung vào các nội dung tuyên truyền về mục tiêu, sứ mệnh của phong trào, giá trị của danh hiệu ""Sinh viên 5 tốt"", các tấm gương ""Sinh viên 5 tốt"" các cấp, các mô hình hay, cách làm hiệu quả trong triển khai phong trào ""Sinh viên 5 tốt"", có giải pháp tuyên truyền sâu rộng tới cấp uỷ, chính quyền địa phương, các tổ chức, doanh nghiệp, nhà tuyển dụng lao động về giá trị của phong trào, danh hiệu ""Sinh viên 5 tốt"". - - Ban hành bộ sản phẩm tuyên truyền về phong trào ""Sinh viên 5 tốt"".",3523,,False,True,False,False,659,138,chunk_7,chunk_9
m_chunk_9,"## 1.2. Hội Sinh viên cấp tỉnh, ngoài nước, các trường trực thuộc",4184,"1.2. Hội Sinh viên cấp tỉnh, ngoài nước, các trường trực thuộc",False,False,False,False,65,13,chunk_8,chunk_10
m_chunk_10,"- - Định kỳ hằng tháng đăng bài viết trên kênh thông tin của Đoàn, Hội, nhà trường về các tấm gương ""Sinh viên 5 tốt"". Sử dụng thống nhất bộ nhận diện danh hiệu ""Sinh viên 5 tốt"" do Trung ương Hội Sinh viên Việt Nam xây dựng trong tuyên truyền và triển khai phong trào. - - Triển khai các hoạt động trực tuyến truyền thông, giới thiệu về phong trào ""Sinh viên 5 tốt"" trong cả năm học, tập trung tuyên truyền cho đối tượng sinh viên năm thứ nhất thông qua các chương trình giao lưu trực tuyến, các công cụ truyền thông như infographic, motion graphic, clip,… - - Hội Sinh viên cấp trường chủ động tham mưu với Đảng ủy, Ban Giám hiệu quan tâm, chỉ đạo các phòng ban chức năng, các khoa hỗ trợ, tạo điều kiện triển khai phong trào ""Sinh viên 5 tốt"" gắn với nhiệm vụ chính trị của nhà trường.",4251,,False,True,False,False,788,162,chunk_9,chunk_11
